ifile,width,height,file
5,1024,561,103330322123303302_x4_cropped.png
11,1024,274,103332302111220002_x4_cropped.png
16,1024,561,110113122303011210_x4_cropped.png
106,1024,561,103332101110320110_x4_cropped.png
138,1024,527,103330300011111110_x4_cropped.png
141,1024,561,103331121100233202_x4_cropped.png
147,1024,561,103331202032100302_x4_cropped.png
167,1024,561,110113110123203310_x4_cropped.png
227,1024,561,103331112011112102_x4_cropped.png
228,1024,561,103330331023312010_x4_cropped.png
236,1024,561,021000330200120202_x4_cropped.png
264,1024,561,020310023302013302_x4_cropped.png
277,1024,561,103330300011223210_x4_cropped.png
282,1024,509,103331102133210110_x4_cropped.png
291,1024,561,103330300011130310_x4_cropped.png
312,1024,561,020303333013200202_x4_cropped.png
321,1024,561,103330313111031010_x4_cropped.png
454,1024,561,020310023332310110_x4_cropped.png
466,1024,561,103330331023003002_x4_cropped.png
504,1024,561,103331211203112002_x4_cropped.png
512,1024,561,103331211212203002_x4_cropped.png
516,1024,561,103330331023330302_x4_cropped.png
579,1024,561,103331013032333110_x4_cropped.png
592,1024,561,110113202103022202_x4_cropped.png
633,1024,561,103330300011122210_x4_cropped.png
