ifile,width,height,file
5,768,433,0jcVPZy2lYgYBCe7AtzbYA_right_cropped.png
157,768,357,6fVP_eFGEszkNjIj90x5gw_right_cropped.png
171,768,256,5_oW3MSeiwWQIXdqP4_MYQ_right_cropped.png
187,768,206,69ptjBkb8rbRf6-kO6Lx0w_left_cropped.png
191,768,335,_6x5xHX79aemm0uIElSZRg_right_cropped.png
194,768,311,5FCPXDGNBCPx2OQEFmuceQ_left_cropped.png
223,768,344,6sVBCEUAunmIaxwKewcuHw_right_cropped.png
234,768,267,6lk4KlNLZ6lMm99ZjLIqNA_right_cropped.png
238,768,329,6VpbTieC-sVoxN7GgtYvBQ_right_cropped.png
239,768,432,5-iLv6M2pwQcIt5nRJoscQ_left_cropped.png
263,768,433,9apbjkmAK59eJEKorEpOaw_left_cropped.png
273,768,433,6Vco1HQZnRa6jebgeS6mUA_right_cropped.png
345,768,433,g5fAAxWOY0Eo12ofz1xdKA_right_cropped.png
346,768,433,sJJKeDGpQRSPOHN08JOvlw_right_cropped.png
