iann,ilabel,ibox,normx,normy,normwidth,normheight,file,label,isyn
0,0,0,0.3551942014408681,0.4939820359281438,0.1092948867889223,0.3959481037924149,020310220013302002_x4_cropped,alone,0
1,34,0,0.3551942014408681,0.4939820359281438,0.1092948867889223,0.3959481037924149,020310220013302002_x4_cropped,walking,23
3,4,1,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped,couple/2people,4
4,34,1,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped,walking,23
5,12,1,0.2588273063248503,0.4700199600798403,0.0987481287425149,0.3559281437125744,020310220013302002_x4_cropped,phone interaction,10
7,4,2,0.8002549314576187,0.3361332356269917,0.0805098629152351,0.213193201212615,020310220013302002_x4_cropped,couple/2people,4
8,34,2,0.8002549314576187,0.3361332356269917,0.0805098629152351,0.213193201212615,020310220013302002_x4_cropped,walking,23
9,30,2,0.8002549314576187,0.3361332356269917,0.0805098629152351,0.213193201212615,020310220013302002_x4_cropped,talking,20
11,0,3,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped,alone,0
12,34,3,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped,walking,23
13,12,3,0.1651150238585329,0.6959880239520959,0.0971078546032934,0.4599999999999999,020310220013302002_x4_cropped,phone interaction,10
15,4,4,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped,couple/2people,4
16,34,4,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped,walking,23
17,30,4,0.122143700879491,0.4709880239520957,0.1210068534805389,0.3639720558882235,020310220013302002_x4_cropped,talking,20
19,4,5,0.6360090700204225,0.3765901869186181,0.1767000485819095,0.2762884099987655,020310220013302002_x4_cropped,couple/2people,4
20,34,5,0.6360090700204225,0.3765901869186181,0.1767000485819095,0.2762884099987655,020310220013302002_x4_cropped,walking,23
21,16,5,0.6360090700204225,0.3765901869186181,0.1767000485819095,0.2762884099987655,020310220013302002_x4_cropped,pushing stroller or shopping cart,12
23,0,6,0.0193740643712574,0.3449800399201597,0.0387481287425149,0.2099600798403194,020310220013302002_x4_cropped,alone,0
24,34,6,0.0193740643712574,0.3449800399201597,0.0387481287425149,0.2099600798403194,020310220013302002_x4_cropped,walking,23
27,4,7,0.1075154636697539,0.3080680143668857,0.0758295067441327,0.1204493827769047,020310220013302002_x4_cropped,couple/2people,4
28,22,7,0.1075154636697539,0.3080680143668857,0.0758295067441327,0.1204493827769047,020310220013302002_x4_cropped,sitting,15
29,30,7,0.1075154636697539,0.3080680143668857,0.0758295067441327,0.1204493827769047,020310220013302002_x4_cropped,talking,20
31,7,8,0.9468400936026996,0.2856547398933743,0.1063198127945996,0.1182169852765822,020310220013302002_x4_cropped,group,7
32,22,8,0.9468400936026996,0.2856547398933743,0.1063198127945996,0.1182169852765822,020310220013302002_x4_cropped,sitting,15
33,30,8,0.9468400936026996,0.2856547398933743,0.1063198127945996,0.1182169852765822,020310220013302002_x4_cropped,talking,20
35,7,9,0.4093098568488017,0.3007319123071009,0.1545024794161681,0.1138410509128248,020310220013302002_x4_cropped,group,7
36,22,9,0.4093098568488017,0.3007319123071009,0.1545024794161681,0.1138410509128248,020310220013302002_x4_cropped,sitting,15
37,30,9,0.4093098568488017,0.3007319123071009,0.1545024794161681,0.1138410509128248,020310220013302002_x4_cropped,talking,20
38,29,9,0.4093098568488017,0.3007319123071009,0.1545024794161681,0.1138410509128248,020310220013302002_x4_cropped,taking photo,19
40,0,10,0.655,0.3823203285420945,0.0500000000000001,0.2646406570841889,103331013033101310_x4_cropped,alone,0
41,26,10,0.655,0.3823203285420945,0.0500000000000001,0.2646406570841889,103331013033101310_x4_cropped,standing,17
43,0,11,0.0828746631160164,0.2792402464065708,0.0522499037474332,0.1584804928131416,103331013033101310_x4_cropped,alone,0
44,34,11,0.0828746631160164,0.2792402464065708,0.0522499037474332,0.1584804928131416,103331013033101310_x4_cropped,walking,23
46,0,12,0.3711872353054415,0.3342402464065708,0.042374470610883,0.2084804928131418,103331013033101310_x4_cropped,alone,0
47,26,12,0.3711872353054415,0.3342402464065708,0.042374470610883,0.2084804928131418,103331013033101310_x4_cropped,standing,17
49,0,13,0.1708116096637574,0.2373203285420942,0.0258738930954828,0.1505338809034906,103331013033101310_x4_cropped,alone,0
50,26,13,0.1708116096637574,0.2373203285420942,0.0258738930954828,0.1505338809034906,103331013033101310_x4_cropped,standing,17
52,0,14,0.9307847989571864,0.2962936344969193,0.0499290545496914,0.1725872689938397,103331013033101310_x4_cropped,alone,0
53,34,14,0.9307847989571864,0.2962936344969193,0.0499290545496914,0.1725872689938397,103331013033101310_x4_cropped,walking,23
54,39,14,0.9307847989571864,0.2962936344969193,0.0499290545496914,0.1725872689938397,103331013033101310_x4_cropped,crossing crosswalk,27
56,0,15,0.7861872353054413,0.3202669404517451,0.0636239893480487,0.2005338809034901,103331013033101310_x4_cropped,alone,0
57,34,15,0.7861872353054413,0.3202669404517451,0.0636239893480487,0.2005338809034901,103331013033101310_x4_cropped,walking,23
59,0,16,0.4547818290496114,0.3228215508341033,0.0471727435744167,0.1870881346072091,103331013033101310_x4_cropped,alone,0
60,26,16,0.4547818290496114,0.3228215508341033,0.0471727435744167,0.1870881346072091,103331013033101310_x4_cropped,standing,17
62,0,17,0.6536798905608755,0.2262425169047844,0.0241039671682627,0.08,020310233211001010_x4_cropped,alone,0
63,34,17,0.6536798905608755,0.2262425169047844,0.0241039671682627,0.08,020310233211001010_x4_cropped,walking,23
65,0,18,0.6236628654920939,0.2299073064340238,0.0189615849918212,0.1019956379498362,020310233211001010_x4_cropped,alone,0
66,34,18,0.6236628654920939,0.2299073064340238,0.0189615849918212,0.1019956379498362,020310233211001010_x4_cropped,walking,23
68,0,19,0.3418705484937289,0.2103577292536392,0.0237410969874593,0.0854568424741833,020310233211001010_x4_cropped,alone,0
69,34,19,0.3418705484937289,0.2103577292536392,0.0237410969874593,0.0854568424741833,020310233211001010_x4_cropped,walking,23
71,41,19,0.3418705484937289,0.2103577292536392,0.0237410969874593,0.0854568424741833,020310233211001010_x4_cropped,elderly,29
72,0,20,0.5042603044915475,0.1780861504907306,0.0189615849918214,0.0674482006543076,020310233211001010_x4_cropped,alone,0
73,26,20,0.5042603044915475,0.1780861504907306,0.0189615849918214,0.0674482006543076,020310233211001010_x4_cropped,standing,17
75,0,21,0.0747795119956379,0.194037674107943,0.0295590239912759,0.0890020781745172,020310233211001010_x4_cropped,alone,0
76,34,21,0.0747795119956379,0.194037674107943,0.0295590239912759,0.0890020781745172,020310233211001010_x4_cropped,walking,23
78,0,22,0.7814153660032713,0.2219029443838604,0.0470412179661939,0.0798146128680479,020310233211001010_x4_cropped,alone,0
79,34,22,0.7814153660032713,0.2219029443838604,0.0470412179661939,0.0798146128680479,020310233211001010_x4_cropped,walking,23
80,16,22,0.7814153660032713,0.2219029443838604,0.0470412179661939,0.0798146128680479,020310233211001010_x4_cropped,pushing stroller or shopping cart,12
82,38,22,0.7814153660032713,0.2219029443838604,0.0470412179661939,0.0798146128680479,020310233211001010_x4_cropped,baby/infant,26
83,0,23,0.1291820729961832,0.1926335877862595,0.01,0.05,020310233211001010_x4_cropped,alone,0
84,34,23,0.1291820729961832,0.1926335877862595,0.01,0.05,020310233211001010_x4_cropped,walking,23
86,7,24,0.1989805837039195,0.3942759326448344,0.1539087749993922,0.2827005644059118,020310233211001010_x4_cropped,group,7
87,26,24,0.1989805837039195,0.3942759326448344,0.1539087749993922,0.2827005644059118,020310233211001010_x4_cropped,standing,17
88,30,24,0.1989805837039195,0.3942759326448344,0.1539087749993922,0.2827005644059118,020310233211001010_x4_cropped,talking,20
89,4,25,0.7745448175095407,0.1924591057797163,0.0344949989776441,0.064547437295529,020310233211001010_x4_cropped,couple/2people,4
90,26,25,0.7745448175095407,0.1924591057797163,0.0344949989776441,0.064547437295529,020310233211001010_x4_cropped,standing,17
91,30,25,0.7745448175095407,0.1924591057797163,0.0344949989776441,0.064547437295529,020310233211001010_x4_cropped,talking,20
93,0,26,0.2432931135836963,0.2032715376226826,0.0273257309841878,0.0930861504907306,020310233211001010_x4_cropped,alone,0
94,34,26,0.2432931135836963,0.2032715376226826,0.0273257309841878,0.0930861504907306,020310233211001010_x4_cropped,walking,23
96,0,27,0.016230490049073,0.1821810250817883,0.0295590239912759,0.0712758996728461,020310233211001010_x4_cropped,alone,0
97,34,27,0.016230490049073,0.1821810250817883,0.0295590239912759,0.0712758996728461,020310233211001010_x4_cropped,walking,23
99,0,28,0.1990826276240453,0.1961810662220141,0.0273257309841878,0.0854568424741831,020310233211001010_x4_cropped,alone,0
100,34,28,0.1990826276240453,0.1961810662220141,0.0273257309841878,0.0854568424741831,020310233211001010_x4_cropped,walking,23
102,0,29,0.2932554153371758,0.1879402173004626,0.018516436590385,0.0689665850916562,020310233211001010_x4_cropped,alone,0
103,26,29,0.2932554153371758,0.1879402173004626,0.018516436590385,0.0689665850916562,020310233211001010_x4_cropped,standing,17
104,27,29,0.2932554153371758,0.1879402173004626,0.018516436590385,0.0689665850916562,020310233211001010_x4_cropped,street vendors,18
106,0,30,0.4434351784010355,0.1760087241003272,0.0237410969874593,0.0734569247546347,020310233211001010_x4_cropped,alone,0
107,26,30,0.4434351784010355,0.1760087241003272,0.0237410969874593,0.0734569247546347,020310233211001010_x4_cropped,standing,17
108,21,30,0.4434351784010355,0.1760087241003272,0.0237410969874593,0.0734569247546347,020310233211001010_x4_cropped,shopping,14
110,0,31,0.300759115361626,0.3887283296734442,0.0615182307232517,0.2774566593468881,103331120130120102_x4_cropped,alone,0
111,34,31,0.300759115361626,0.3887283296734442,0.0615182307232517,0.2774566593468881,103331120130120102_x4_cropped,walking,23
113,0,32,0.0657471264367815,0.6332208596447008,0.1314942528735631,0.4149977572645797,021000330132320202_x4_cropped,alone,0
114,34,32,0.0657471264367815,0.6332208596447008,0.1314942528735631,0.4149977572645797,021000330132320202_x4_cropped,walking,23
115,39,32,0.0657471264367815,0.6332208596447008,0.1314942528735631,0.4149977572645797,021000330132320202_x4_cropped,crossing crosswalk,27
117,0,33,0.0238833534964558,0.5327262813522355,0.0477667069929116,0.3654525627044711,021000330132320202_x4_cropped,alone,0
118,26,33,0.0238833534964558,0.5327262813522355,0.0477667069929116,0.3654525627044711,021000330132320202_x4_cropped,standing,17
119,39,33,0.0238833534964558,0.5327262813522355,0.0477667069929116,0.3654525627044711,021000330132320202_x4_cropped,crossing crosswalk,27
121,0,34,0.3574679874931845,0.3430840106058747,0.0549359749863686,0.190909405178654,021000330132320202_x4_cropped,alone,0
122,26,34,0.3574679874931845,0.3430840106058747,0.0549359749863686,0.190909405178654,021000330132320202_x4_cropped,standing,17
123,39,34,0.3574679874931845,0.3430840106058747,0.0549359749863686,0.190909405178654,021000330132320202_x4_cropped,crossing crosswalk,27
125,4,35,0.3035783927449637,0.2771523734149487,0.0537512348124644,0.1723974198257607,021000330132320202_x4_cropped,couple/2people,4
126,26,35,0.3035783927449637,0.2771523734149487,0.0537512348124644,0.1723974198257607,021000330132320202_x4_cropped,standing,17
127,30,35,0.3035783927449637,0.2771523734149487,0.0537512348124644,0.1723974198257607,021000330132320202_x4_cropped,talking,20
129,0,36,0.0100782314953653,0.3246183206106866,0.0201564629907306,0.1892366412213741,021000330132320202_x4_cropped,alone,0
130,34,36,0.0100782314953653,0.3246183206106866,0.0201564629907306,0.1892366412213741,021000330132320202_x4_cropped,walking,23
