iann,ilabel,ibox,normx,normy,normwidth,normheight,file,label,isyn
0,7,0,0.3543965250190375,0.4566890610221139,0.1546882465446249,0.4943841806484376,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,group,7
1,30,0,0.3543965250190375,0.4566890610221139,0.1546882465446249,0.4943841806484376,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,walking,23
2,27,0,0.3543965250190375,0.4566890610221139,0.1546882465446249,0.4943841806484376,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,talking,20
4,0,1,0.7591335006845568,0.3364814814814813,0.0761875703901446,0.267407407407407,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,alone,0
5,30,1,0.7591335006845568,0.3364814814814813,0.0761875703901446,0.267407407407407,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,walking,23
7,0,2,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,alone,0
8,23,2,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,standing,17
9,12,2,0.6215661168981477,0.2987037037037037,0.0631322337962968,0.2374074074074072,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,phone interaction,10
11,0,3,0.9679931037808645,0.3677858990176071,0.0640137924382707,0.3120370370370369,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,alone,0
12,30,3,0.9679931037808645,0.3677858990176071,0.0640137924382707,0.3120370370370369,MmPJHzpXK_bQ44tC_biq7Q_left_cropped,walking,23
14,0,4,0.9220582534169884,0.3713114315612146,0.0671684093671366,0.2453669587605225,6H7aUUz1kQyTKDJq4OkQkQ_right_cropped,alone,0
15,20,4,0.9220582534169884,0.3713114315612146,0.0671684093671366,0.2453669587605225,6H7aUUz1kQyTKDJq4OkQkQ_right_cropped,sitting,15
16,3,4,0.9220582534169884,0.3713114315612146,0.0671684093671366,0.2453669587605225,6H7aUUz1kQyTKDJq4OkQkQ_right_cropped,construction workers,3
18,0,5,0.6152170942308676,0.3754419807536749,0.0638420096907865,0.2719026129281054,6H7aUUz1kQyTKDJq4OkQkQ_right_cropped,alone,0
