Unnamed: 0,ifile,normx,normy,normwidth,normheight,ilabel,num_labels,is_challenging
0,0,0.3960482867152932,0.5691317212710176,0.2920965734305833,0.578449649379981,"[31, 1, 4, 13]",4,False
1,0,0.6146464234506775,0.4231928779678096,0.1071178285225713,0.2616434540389969,"[0, 31, 4]",3,False
2,0,0.7783339243381908,0.6402725347159821,0.2590801828196771,0.5073867739605898,"[2, 31, 5, 13]",4,False
3,1,0.1396231721034873,0.3819951316708972,0.1127446569178856,0.2519221067343488,"[2, 13, 6]",3,False
4,1,0.2491473150861658,0.3929758588672234,0.0509657265821123,0.2273816155988854,"[0, 6]",2,False
5,1,0.3299999999999995,0.4678922934076137,0.0599999999999999,0.3557845868152274,"[0, 6]",2,False
6,1,0.4228350791653308,0.4118141237567343,0.0722150837082002,0.2436282475134677,"[0, 6]",2,False
7,2,0.1865367391347582,0.4519637883008362,0.0632543004613109,0.2839275766016712,"[0, 6]",2,False
8,2,0.2510469862271739,0.3578922934076136,0.0420939724543484,0.2264995357474469,"[0, 6]",2,False
9,2,0.5656861642294715,0.4078831601015233,0.0558717660292461,0.2478344768104908,"[0, 6]",2,False
10,2,0.5791879449086966,0.5133565459610026,0.0615168484989169,0.2899999999999996,"[0, 6]",2,False
11,3,0.0849027688941682,0.3224610136452236,0.0381088445216049,0.1887621832358672,"[0, 6]",2,False
12,3,0.1013546553535648,0.4674703122709281,0.0815168484989166,0.3006406685236766,"[0, 6]",2,False
13,3,0.1399064429012345,0.2430555555555555,0.0417631172839506,0.1342592592592592,"[0, 17, 6]",3,False
14,3,0.1724111951550767,0.2616715399610135,0.0236644517951098,0.1401851851851852,"[0, 6]",2,False
15,3,0.1934199600854791,0.245665347212041,0.016510972802538,0.1250149049503983,"[0, 6]",2,False
16,3,0.2147478070175438,0.3571052631578947,0.0399999999999999,0.17,"[0, 5, 28]",3,False
17,3,0.2576260964912281,0.3108479532163743,0.0399999999999999,0.1718518518518522,"[0, 29, 5]",3,False
18,3,0.2808162006578946,0.5460526315789472,0.1087541118421056,0.3952631578947372,"[2, 5, 13]",3,False
19,3,0.3222100114128753,0.3277623026926647,0.0246041763385948,0.074280408542247,"[0, 6]",2,False
20,3,0.3511724451347146,0.4423684210526313,0.0473289035902194,0.2699999999999998,"[0, 5]",2,False
21,3,0.4766318311810746,0.3370424804660987,0.0494228760445681,0.1901851851851851,"[0, 6]",2,False
22,3,0.7163941873274037,0.3303460038986353,0.0440950520833329,0.1964814814814813,"[0, 6, 23]",3,False
23,3,0.81058640071678,0.3911452241715396,0.0657424286265426,0.2401851851851853,"[0, 29, 6, 23]",4,False
24,3,0.9125097021706462,0.3446296296296289,0.0551391300154321,0.2092592592592589,"[0, 6, 23]",3,False
25,4,0.4671463272217319,0.3909853950126901,0.1127039709783624,0.2419707900253809,"[0, 17, 6, 48]",4,False
26,4,0.7823491753472216,0.3770370370370367,0.0846983506944445,0.2592592592592592,"[0, 6]",2,False
27,6,0.2812569063088829,0.2485861568140358,0.0278747439956836,0.1158195477177242,"[0, 5]",2,False
28,6,0.7318223061565127,0.8322222222222219,0.3826005343809282,0.3355555555555549,"[2, 13, 6, 23]",4,False
29,7,0.0114848572530864,0.4402777777777777,0.0229697145061728,0.2749999999999999,"[0, 5, 15]",3,False
30,7,0.0748684462673454,0.3467763728372171,0.0429131564717284,0.1848420323028548,"[0, 5, 15]",3,False
31,7,0.0861262503653839,0.2763888888888887,0.0605361619962,0.1138888888888886,"[2, 5]",2,False
32,7,0.1328705025009258,0.5334008190964213,0.0692248905072007,0.4092278127059751,"[2, 6, 23]",3,False
33,7,0.2513702917905967,0.3530384419775951,0.0358830102712477,0.1262859795728876,"[0, 5, 23]",3,False
34,7,0.275432475964441,0.4254642525533891,0.0430193086767964,0.0960724233983288,"[0, 5, 23]",3,False
35,7,0.3709443002097612,0.3344631121073067,0.0632782456515203,0.1603668783430926,"[0, 4]",2,False
36,7,0.4340639979816666,0.6365400446965624,0.1481279959633339,0.6269199106068764,"[2, 13, 6]",3,False
37,7,0.5121528887393831,0.4296191822408443,0.0512946902622213,0.1414467835941518,"[0, 4]",2,False
38,7,0.5684260964786249,0.481351156899032,0.0769594546409395,0.3478462320896145,"[0, 6]",2,False
39,7,0.6854814091435186,0.5278703703703698,0.0909628182870367,0.4157407407407401,"[0, 6]",2,False
40,7,0.8468322258975541,0.5041782729805016,0.0936644517951097,0.3283565459610027,"[0, 6]",2,False
41,8,0.2754430468508203,0.2964995357474461,0.0291139062983599,0.1799999999999993,"[0, 6]",2,False
42,8,0.3606826962611575,0.4199756583544847,0.1213653925223119,0.379951316708968,"[2, 5]",2,False
43,8,0.535,0.36,0.03,0.26,"[0, 5]",2,False
44,9,0.0263496927145611,0.4639175257731939,0.0517241379310344,0.2948453608247415,"[0, 6]",2,False
45,9,0.579761123119798,0.3666624062737658,0.0452246603970741,0.2399999999999998,"[0, 5]",2,False
46,9,0.6354858934169276,0.4399999999999993,0.050971786833856,0.2999999999999998,"[0, 6]",2,False
47,9,0.8051787337492137,0.4192791333758658,0.08901117194838,0.2401362661478183,"[2, 4]",2,False
48,10,0.0127899546682098,0.1842592592592592,0.0203595196759259,0.0592592592592592,"[0, 6]",2,False
49,10,0.0720446988776952,0.2327677624602331,0.0520156747083774,0.2258748674443263,"[0, 5]",2,False
50,10,0.090597881318487,0.2484835630965003,0.0799999999999999,0.2527253446447505,"[0, 6]",2,False
51,10,0.1538862285701661,0.2206320776360239,0.0477724571403322,0.221264155272048,"[0, 6]",2,False
52,10,0.1801879252827853,0.1990137857900314,0.0213597450512549,0.0513679745493107,[43],1,False
53,10,0.2266877098798162,0.1859862142099675,0.0650050813008128,0.1113573700954398,"[1, 5, 13, 44]",4,False
54,10,0.27,0.18,0.02,0.1,"[0, 6]",2,False
55,10,0.309728363405879,0.1873637131298849,0.0307653039411584,0.1064814814814814,"[0, 6]",2,False
56,10,0.5667406769176376,0.1757941032541001,0.0534813538352782,0.139016247362425,"[2, 6]",2,False
57,10,0.715193006583595,0.2516022670097111,0.1256029626192994,0.3144472440727794,"[2, 13, 6]",3,False
58,11,0.2068054104766327,0.2197493036211693,0.0410469862271742,0.1994986072423398,"[0, 6]",2,False
59,11,0.2672955801529337,0.3074663859488309,0.0788863668982529,0.3549327718976617,"[0, 5]",2,False
60,11,0.6444228760445684,0.353927576601671,0.0952349311358719,0.4144289693593311,"[0, 6]",2,False
61,12,0.4436878274244645,0.3018713450292398,0.0531322337962964,0.211111111111111,"[2, 6]",2,False
62,12,0.6706358570398798,0.2531578947368419,0.0236542727623454,0.1399999999999999,"[0, 5]",2,False
63,12,0.7370848245106404,0.3375243664717349,0.0687121431327144,0.2392592592592592,"[0, 29, 5]",3,False
64,12,0.98,0.37,0.0399999999999999,0.3,"[0, 6, 41]",3,False
65,13,0.031671333372021,0.233983286908078,0.0319330799288146,0.0835654596100278,"[0, 6, 23]",3,False
66,13,0.0445106907894736,0.2994541910331383,0.0747779605263158,0.1484600389863548,"[0, 17, 6, 23]",4,False
67,13,0.0534128289473684,0.2057894736842105,0.0213651315789473,0.0473684210526315,"[0, 6, 23]",3,False
68,13,0.0620068962191358,0.5450000000000004,0.1240137924382716,0.4100000000000003,"[0, 8, 23]",3,False
69,13,0.1056825657894737,0.3905263157894737,0.05,0.26,"[0, 6, 23]",3,False
70,13,0.1237397203947368,0.2089473684210526,0.0219586074561403,0.0747368421052631,"[0, 6, 23]",3,False
71,13,0.1471820175438596,0.2021052631578947,0.0249259868421052,0.0463157894736842,"[0, 6, 23]",3,False
72,13,0.1489624451754386,0.2473684210526315,0.0391694078947368,0.04,"[0, 6, 23]",3,False
73,13,0.1607947932447179,0.4150298099007967,0.0499999999999999,0.3067130919220058,"[0, 29, 6, 23]",4,False
74,13,0.1815282346491228,0.28,0.03,0.16,"[0, 6, 23]",3,False
75,13,0.2073915252739482,0.2737115588547189,0.0347830505478968,0.1274231177094379,"[0, 6, 23]",3,False
76,13,0.2308621162280702,0.2362664450525996,0.0261129385964912,0.0935855216841466,"[0, 6, 23]",3,False
77,13,0.2696632160189245,0.3308382066276803,0.0667865065586419,0.2185185185185183,"[0, 15, 6]",3,False
78,13,0.2830879934210526,0.2717328837413869,0.0261129385964912,0.153376337780384,"[0, 6, 23]",3,False
79,13,0.3459964364035083,0.2362983053424338,0.0261129385964911,0.0816334088083098,"[0, 5]",2,False
80,13,0.3515408058251107,0.3018868201143523,0.0217164800712739,0.1511420612813366,"[0, 6]",2,False
81,13,0.4062306561436084,0.2734447539461467,0.0293156143608793,0.1383472609099353,"[0, 6]",2,False
82,13,0.4292434210526313,0.3450021447924979,0.0499999999999999,0.2246631589807077,"[0, 6]",2,False
