,ifile,x,y,width,height,ilabel,num_labels
0,0,0.0158321334855507,0.3391494002181025,0.0292745109732824,0.2268266085059977,"[0, 11, 31, 41, 50]",5
1,0,0.0364437789667393,0.3527808069792801,0.0549643879498364,0.223555070883315,"[0, 31, 41, 50]",4
2,0,0.0899145694179388,0.3438665546680816,0.0495874369547434,0.2190090090090085,"[0, 31, 41, 50]",4
3,0,0.2820910364980914,0.2782606324972736,0.0325462189885496,0.1365212649945472,"[0, 31, 41, 50]",4
4,1,0.888572899070946,0.3374846413455892,0.0771457981418919,0.257491805213701,"[4, 23, 27, 41]",4
5,2,0.8452214421452702,0.3828828828828828,0.0987119932432432,0.2792792792792792,"[4, 23]",2
6,3,0.2622745988175676,0.3131081081081081,0.0845491976351349,0.2137837837837837,"[4, 27, 31, 41]",4
7,3,0.5446715318834456,0.3064752984621014,0.0659118982263517,0.2011034571298512,"[4, 31, 41, 50]",4
8,4,0.2741653526376144,0.2923529411764706,0.06833070527523,0.2047058823529412,"[0, 31, 41]",3
9,4,0.3247795119956379,0.2665430752453651,0.0495590239912757,0.1730861504907306,"[0, 31, 41]",3
10,6,0.3818252086959359,0.246260162601626,0.0618687677024086,0.152520325203252,"[4, 23, 27, 41]",4
11,6,0.4435632993789283,0.6144308943089432,0.10137979627357,0.5251219512195121,"[0, 2, 36, 41]",4
12,6,0.6004454124223658,0.4612601626016259,0.071580722981517,0.3425203252032522,"[0, 23, 36, 41]",4
13,7,0.07,0.3766686762007893,0.0799999999999999,0.2533373524015799,"[0, 23, 41, 50]",4
14,7,0.1806169499577702,0.3090388893933072,0.0412338999155406,0.1649852842764486,"[0, 20, 28, 41]",4
15,8,0.1735064025013631,0.3631788440567061,0.0780796329743729,0.246357688113413,"[0, 11, 31, 36, 41, 50]",6
16,8,0.4606756704948199,0.375359869138495,0.0413513409896402,0.2107197382769901,"[0, 31, 36, 41, 50]",5
17,8,0.7949999999999992,0.4219956379498363,0.0699999999999999,0.303991275899673,"[0, 31, 36, 41, 50]",5
18,8,0.91,0.3376335877862594,0.0399999999999999,0.215267175572519,"[0, 11, 23, 41]",4
19,8,0.965,0.38,0.0700000000000004,0.2799999999999999,"[0, 31, 41, 50]",4
20,9,0.0154719562243501,0.2793637753571767,0.0309439124487003,0.2187275507143535,"[0, 23, 41, 50]",4
21,9,0.2351299589603283,0.3012425169047845,0.0502599179206564,0.142485033809569,"[0, 20, 41, 50]",4
22,9,0.3391766278665379,0.2952634988661384,0.0852791271039769,0.1395360067412855,"[4, 20, 41, 50]",4
23,9,0.4891039671682632,0.322485033809569,0.0382079343365251,0.2099880270476552,"[0, 11, 31, 41]",4
24,9,0.7519699042407659,0.2937395236666981,0.0639398084815321,0.2274790473333966,"[0, 31, 41, 50]",4
25,9,0.8464271009290537,0.2735529645463661,0.06,0.2112724492856464,"[0, 31, 41, 50]",4
26,9,0.8586805753136311,0.3380702269311747,0.0797334829619486,0.2392035169254121,"[0, 31, 41, 50]",4
27,9,0.9118399452804372,0.3187395236666983,0.0636798905608756,0.2174790473333968,"[0, 31, 41, 50]",4
28,10,0.0687157442235358,0.3008849390960524,0.113315421816228,0.2017698781921052,"[4, 23, 27, 41]",4
29,10,0.3211794734013971,0.2383369970527411,0.0423589468027943,0.1366739941054824,"[0, 31, 41]",3
30,10,0.5156421278882324,0.2458849390960526,0.0312842557764644,0.1517698781921053,"[0, 31, 41]",3
31,10,0.7188070929607732,0.3057890550094298,0.0776141859215472,0.2115781100188597,"[4, 31, 41]",3
32,10,0.8017168189145611,0.1598082318267542,0.0234336378291237,0.0678465854614034,"[0, 31, 41]",3
33,10,0.8860827512090278,0.1284878369304831,0.0161203653949489,0.0451178664030704,"[0, 23, 41]",3
34,12,0.4477667069929116,0.3298146128680479,0.0755334139858225,0.2396292257360958,"[4, 31, 41]",3
35,13,0.6968727480598642,0.4422838137472285,0.1537454961197338,0.3331263858093125,"[4, 23, 27, 41]",4
