,Label Combination,Frequency
0,"(5, 7, 19, 26, 39)",3
1,"(0, 5, 19, 39)",7
2,"(4, 5, 22, 26, 39)",1
3,"(4, 26, 29, 39)",27
4,"(0, 29, 39)",411
5,"(0, 15, 29, 39)",30
6,"(0, 22, 27, 39, 42)",1
7,"(0, 12, 22, 39)",16
8,"(4, 22, 26, 39)",41
9,"(0, 22, 39)",249
10,"(0, 29, 34, 39)",127
11,"(0, 12, 29, 34, 39)",6
12,"(0, 15, 29, 33, 39)",5
13,"(4, 26, 29, 34, 39)",9
14,"(0, 22, 25, 39)",10
15,"(4, 22)",2
16,"(4, 29, 34, 39)",16
17,"(0, 22, 34, 39)",13
18,"(0, 19)",1
19,"(0, 19, 39)",42
20,"(0, 6, 29, 39)",1
21,"(4, 22, 39)",21
22,"(4, 19, 39)",7
23,"(43,)",17
24,"(7, 22, 37, 39)",2
25,"(4, 29, 39)",52
26,"(4, 29, 39, 42)",1
27,"(0, 29, 31, 39)",4
28,"(0, 29, 34, 39, 49)",1
29,"(0, 2, 34, 39)",7
30,"(0, 29, 34, 42)",1
31,"(0, 25, 29, 39, 42)",1
32,"(0, 22)",7
33,"(7, 29, 42)",1
34,"(0, 29)",11
35,"(4, 22, 31, 39)",1
36,"(7, 22, 26, 39)",19
37,"(0, 12, 29, 39)",12
38,"(0, 22, 27, 39)",9
39,"(39,)",25
40,"(0, 29, 32, 34, 39)",3
41,"(0, 39)",2
42,"(0, 2, 30, 39)",3
43,"(0, 2, 12, 30, 39)",1
44,"(0, 3, 22, 39)",11
45,"(6, 7, 19, 22, 39)",1
46,"(7, 34, 39)",1
47,"(0, 15, 29, 34, 39)",2
48,"(0, 11, 29, 34, 39)",3
49,"(0, 19, 34, 39)",1
50,"(0, 29, 32, 39)",6
51,"(4, 22, 26, 34, 39)",2
52,"(0, 22, 39, 44)",12
53,"(4, 22, 23, 39)",1
54,"(7, 29, 34, 39)",3
55,"(0, 27, 29, 34, 39)",5
56,"(0, 22, 28, 39)",4
57,"(0, 29, 30, 39)",1
58,"(0, 22, 30, 39)",4
59,"(0, 14, 22, 39)",1
60,"(7, 29, 39)",8
61,"(7, 26, 29, 37, 39)",2
62,"(4, 22, 26, 30, 39)",1
63,"(4, 26, 39)",3
64,"(0, 18, 22, 39)",11
65,"(0, 12, 39)",1
66,"(0, 15, 39)",2
67,"(4, 27, 29, 39)",1
68,"(4, 11, 29, 39)",1
69,"(4, 22, 34, 39)",1
70,"(0, 22, 23, 39)",7
71,"(0, 22, 27, 34, 39)",1
72,"(4, 29, 34, 37, 39)",4
73,"(4, 22, 26, 38, 39)",1
74,"(7, 22, 26, 29, 39, 42)",1
75,"(4, 5, 19, 39)",7
76,"(4, 29, 36, 39)",1
77,"(7, 29, 37, 39)",3
78,"(0, 12, 19, 39)",4
79,"(7, 22, 23, 39)",1
80,"(0, 11, 29, 39)",6
81,"(0, 29, 36, 39)",3
82,"(0, 27, 29, 39)",13
83,"(0, 34, 39)",3
84,"(7, 26, 39)",1
85,"(4, 22, 39, 44)",2
86,"(5, 7, 19, 39)",3
87,"(4, 19, 26, 39)",7
88,"(7, 26, 29, 39)",2
89,"(7, 12, 22, 39)",1
90,"(7, 12, 15, 26, 29, 37, 39)",1
91,"(0, 2, 39)",7
92,"(0, 12, 22, 30, 39)",1
93,"(4, 22, 37, 39)",3
94,"(4, 29, 37, 39)",5
95,"(0, 17, 21, 39)",1
96,"(7, 22, 39)",9
97,"(0, 15, 33, 39)",1
98,"(0, 22, 29, 39)",1
99,"(4, 11, 22, 26, 39)",1
100,"(0, 22, 31, 39)",5
101,"(4, 12, 22, 39)",1
102,"(0, 22, 39, 42)",2
103,"(7, 19, 22, 26, 39)",5
104,"(7, 22, 39, 44)",1
105,"(0, 10, 34, 39)",1
106,"(0, 22, 25, 39, 42)",1
107,"(4, 29, 39, 47)",2
108,"(0, 15, 22, 39)",4
109,"(4, 10, 16, 29, 39)",2
110,"(4, 15, 29, 39)",4
