,ifile,x,y,width,height,ilabel,num_labels
0,0,0.393430821147358,0.5500973665820672,0.2868616422947126,0.5998052668358775,"[5, 7, 19, 26, 39]",5
1,0,0.6387271066756863,0.4190146049873094,0.1552791949725862,0.2700000000000001,"[0, 5, 19, 39]",4
2,0,0.7696962879640039,0.6365585142888699,0.276355455568052,0.5148148148148147,"[4, 5, 22, 26, 39]",5
3,1,0.1396231721034873,0.3819951316708972,0.1127446569178856,0.2519221067343488,"[4, 26, 29, 39]",4
4,1,0.2449593701774689,0.3883333333333331,0.0499187403549382,0.2366666666666666,"[0, 29, 39]",3
5,1,0.33,0.46,0.06,0.34,"[0, 29, 39]",3
6,1,0.422311586051744,0.4229561850380712,0.0868728908886397,0.2659123700761417,"[0, 29, 39]",3
7,2,0.1815635545556808,0.445,0.0658717660292467,0.27,"[0, 29, 39]",3
8,2,0.25,0.35,0.04,0.22,"[0, 29, 39]",3
9,2,0.5656861642294715,0.4078831601015233,0.0558717660292461,0.2478344768104908,"[0, 29, 39]",3
10,2,0.575,0.505,0.05,0.29,"[0, 29, 39]",3
11,3,0.0849027688941682,0.3224610136452236,0.0381088445216049,0.1887621832358672,"[0, 29, 39]",3
12,3,0.1044956140350877,0.4465789473684211,0.07,0.27,"[0, 29, 39]",3
13,3,0.1399064429012345,0.2430555555555555,0.0417631172839506,0.1342592592592592,"[0, 15, 29, 39]",4
14,3,0.1742434210526316,0.2616715399610136,0.0199999999999999,0.1401851851851853,"[0, 29, 39]",3
15,3,0.1908024945175436,0.2447368421052631,0.0112760416666666,0.1231578947368422,"[0, 29, 39]",3
16,3,0.2147478070175438,0.3571052631578947,0.0399999999999999,0.17,"[0, 22, 27, 39, 42]",5
17,3,0.2576260964912281,0.3108479532163743,0.0399999999999999,0.1718518518518522,"[0, 12, 22, 39]",4
18,3,0.2808162006578946,0.5460526315789472,0.1087541118421056,0.3952631578947372,"[4, 22, 26, 39]",4
19,3,0.3548368969298245,0.4423684210526316,0.0399999999999999,0.27,"[0, 22, 39]",3
20,3,0.4729673793859647,0.3333284600389863,0.0399999999999999,0.1901851851851851,"[0, 29, 39]",3
21,3,0.7163941873274037,0.3303460038986353,0.0440950520833329,0.1964814814814813,"[0, 29, 34, 39]",4
22,3,0.81058640071678,0.3911452241715396,0.0657424286265426,0.2401851851851853,"[0, 12, 29, 34, 39]",5
23,3,0.9125097021706462,0.3446296296296289,0.0551391300154321,0.2092592592592589,"[0, 29, 34, 39]",4
24,4,0.464528861653796,0.3909853950126903,0.1179389021142334,0.241970790025381,"[0, 15, 29, 33, 39]",5
25,4,0.7823491753472216,0.3770370370370367,0.0846983506944445,0.2592592592592592,"[0, 29, 39]",3
26,6,0.2812569063088829,0.2485861568140358,0.0278747439956836,0.1158195477177242,"[0, 22, 39]",3
27,6,0.7318223061565127,0.8322222222222219,0.3826005343809282,0.3355555555555549,"[4, 26, 29, 34, 39]",5
28,7,0.0114848572530864,0.4402777777777777,0.0229697145061728,0.2749999999999999,"[0, 22, 25, 39]",4
29,7,0.0748684462673454,0.3486333830507732,0.0429131564717285,0.1885560527299672,"[0, 22, 25, 39]",4
30,7,0.0897907021604938,0.2763888888888888,0.0678650655864197,0.1138888888888887,"[4, 22]",2
31,7,0.1352262215120679,0.5380433446303116,0.0990639979816669,0.4185128637737558,"[4, 29, 34, 39]",4
32,7,0.2482293331090741,0.35118143176404,0.05368177613321,0.1300000000000001,"[0, 22, 34, 39]",4
33,7,0.2756942225212345,0.4250000000000001,0.0707644436969137,0.11,"[0, 22, 34, 39]",4
34,7,0.3709443002097612,0.3344631121073067,0.0632782456515203,0.1603668783430926,"[0, 19]",2
35,7,0.4340639979816666,0.6365400446965624,0.1481279959633339,0.6269199106068764,"[4, 26, 29, 39]",4
36,7,0.5121528887393826,0.4324046975611796,0.0701404423513581,0.1767299776517191,"[0, 19, 39]",3
37,7,0.5673791102514507,0.4776371364719196,0.0947582205029014,0.3552742729438394,"[0, 29, 39]",3
38,7,0.6854814091435186,0.5278703703703698,0.0909628182870367,0.4157407407407401,"[0, 29, 39]",3
39,7,0.845,0.5,0.09,0.32,"[0, 6, 29, 39]",4
40,8,0.26,0.29,0.06,0.18,"[0, 29, 39]",3
41,8,0.3648706411698544,0.4199756583544847,0.129741282339706,0.379951316708968,"[4, 22, 39]",3
42,8,0.535,0.36,0.03,0.26,"[0, 22, 39]",3
43,9,0.0313305412371134,0.4639175257731958,0.0626610824742268,0.2948453608247423,"[0, 29, 39]",3
44,9,0.5823734533183353,0.3666624062737659,0.04,0.24,"[0, 22, 39]",3
45,9,0.63,0.44,0.04,0.3,"[0, 29, 39]",3
46,9,0.8051787337492133,0.414121627996749,0.08901117194838,0.2504512769060521,"[4, 19, 39]",3
47,10,0.0127899546682098,0.1842592592592592,0.0203595196759259,0.0592592592592592,"[0, 29, 39]",3
48,10,0.0720446988776952,0.2327677624602331,0.0520156747083774,0.2258748674443263,"[0, 22, 39]",3
49,10,0.090597881318487,0.2484835630965003,0.0799999999999999,0.2527253446447505,"[0, 29, 39]",3
50,10,0.1538862285701661,0.2229533404029691,0.0477724571403322,0.2259066808059384,"[0, 29, 39]",3
51,10,0.1801879252827853,0.1990137857900314,0.0213597450512549,0.0513679745493107,[43],1
52,10,0.2266877098798162,0.1859862142099675,0.0650050813008128,0.1113573700954398,"[7, 22, 37, 39]",4
53,10,0.27,0.18,0.02,0.1,"[0, 29, 39]",3
54,10,0.309728363405879,0.1873637131298849,0.0307653039411584,0.1064814814814814,"[0, 29, 39]",3
55,10,0.5667406769176381,0.1776511134676563,0.0534813538352782,0.1353022269353127,"[4, 29, 39]",3
56,10,0.7151930065835971,0.2581018027571579,0.1256029626192997,0.3404453870625661,"[4, 26, 29, 39]",4
